Cod_Bairro,Bairro,IDHB2010,IDHB2010Educação,IDHB2010Renda,IDHB2010 Classificação ,População Total,Número de Cor/Raça Amarela,Número de Cor/Raça Branca,Número de Cor/Raça Indígena,Número de Cor/Raça Parda,Número de Cor/Raça Preta,Número de Cor/Raça Sem declaração,RENDA MÉDIA MENSAL ALFABETIZADOS (R$),RENDA MÉDIA MENSAL NÃO ALFABETIZADOS (R$)
230440075091,Aerolândia,"0,3109","0,9490","0,0711",Muito Baixo,11.36,137,4022,31,6749,421,0,"492,69","326,00"
230440075092,Aeroporto (Base Aérea),"0,1769","0,8983","0,0465",Muito Baixo,8.618,111,2566,4,5353,584,0,"409,22","310,64"
230440005001,Alagadiço/São Gerardo,"0,5942","0,9949","0,3240",Baixo,14.505,90,6971,7,7070,367,0,"1364,05","375,94"
230440005002,Aldeota,"0,8666","0,9940","0,7784",Muito Alto,42.361,380,26055,30,15158,738,0,"2946,29","441,00"
230440075093,Alto da Balança,"0,3472","0,9387","0,0764",Muito Baixo,12.814,118,4870,30,7319,477,0,"512,66","348,22"
230440005003,Álvaro Weyne,"0,3647","0,9598","0,0945",Muito Baixo,23.69,223,8179,8,14273,1007,0,"574,27","346,10"
230440005004,Amadeo Furtado,"0,5877","0,9728","0,2417",Baixo,11.703,83,5273,7,5990,350,0,"1093,43","387,28"
230440065050,Ancuri,"0,2043","0,8879","0,0509",Muito Baixo,20.07,218,5730,8,13005,1109,0,"423,01","345,05"
230440060040,Antônio Bezerra,"0,3483","0,9607","0,0929",Muito Baixo,25.846,299,10426,20,13773,1328,0,"568,20","345,18"
230440005005,Arraial Moura Brasil,"0,2847","0,9098","0,0601",Muito Baixo,3.765,49,1122,11,2307,276,0,"457,17","335,80"
230440060041,Autran Nunes,"0,1821","0,8940","0,0323",Muito Baixo,21.208,308,6077,20,13609,1194,0,"355,56","305,70"
230440005006,Barra do Ceará,"0,2157","0,9242","0,0466",Muito Baixo,72.423,1151,20536,126,46497,4113,0,"407,79","302,25"
