Cear&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abaiara,2300101,abaiarense,AFONSO TAVARES LEITE,180.833,11965,58.69,96.7,0.628,19.87,29043.96353,26827.90366,9158.04,
Acarape,2300150,acarapense,FRANCISCO EDILBERTO BESERRA BARROSO,130.002,15140,98.52,96.8,0.606,5.35,38762.5354,36800.46805,10317.47,
Acara&uacute;,2300200,acarauense,ANA FL&Aacute;VIA RIBEIRO MONTEIRO,842.471,63556,68.31,96.8,0.601,5.92,132656.38793,109899.29715,13261.89,
Acopiara,2300309,acopiarense,ANT&Ocirc;NIO ALMEIDA NETO,2254.279,54687,22.58,97.2,0.595,20.18,153148.70946,125356.16693,9432.25,
Aiuaba,2300408,aiuabense,RAMILSON ARAUJO MORAES,2438.563,17584,6.66,97.5,0.569,15.08,37794.63071,33776.93227,8642.90,
Alc&acirc;ntaras,2300507,alcantarense,JOAQUIM FREIRE CARVALHO,135.760,11846,77.71,97.7,0.600,-,28047.7779,28990.81921,7674.08,
Altaneira,2300606,altaneirense,FRANCISCO DARIOMAR RODRIGUES SOARES,72.675,7712,93.54,95.7,0.602,9.43,31688.0261,24034.7098,8560.21,
Alto Santo,2300705,alto-santense,JOSE JOENI HOLANDA DE ARAUJO,1147.208,16077,12.22,96.5,0.601,12.12,40704.75209,35934.2694,11725.03,
Amontada,2300754,amontadense,FLAVIO CESAR BRUNO TEIXEIRA FILHO,1175.044,44195,33.27,97,0.606,8.72,104596.02325,100940.29595,12195.24,
Antonina do Norte,2300804,antonino ou antoninense,ANTONIO ROSENO FILHO,259.706,7402,26.85,95.7,0.599,11.11,21091.60042,19508.59033,9279.79,
Apuiar&eacute;s,2300903,apuiareense,IRIS MARIA CRUZ DE LIMA,543.980,14742,25.54,98.6,0.618,-,43151.1677,36822.04468,7642.48,
Aquiraz,2301000,aquirazense,BRUNO BARROS GON&Ccedil;ALVES,480.236,81581,150.50,96.5,0.641,14.23,244006.6155,197501.39598,42147.15,
Aracati,2301109,aracatiense,BISMARCK COSTA LIMA PINHEIRO MAIA,1227.197,75392,56.32,98.5,0.655,9.33,227561.34007,185621.26216,19713.63,
Aracoiaba,2301208,aracoiabense,THIAGO CAMPELO NOGUEIRA,643.988,26600,38.67,96.5,0.615,8.7,66969.90402,70353.85927,9885.68,
Ararend&aacute;,2301257,ararendaense,ALEXANDRE FELIX DUTRA,342.301,10983,30.49,98.9,0.590,7.04,30233.21546,28244.06253,8097.17,
Araripe,2301307,araripense,CICERO FERREIRA DA SILVA,1097.339,21707,18.81,96.3,0.564,12.01,69217.32083,59671.85451,8762.18,
Aratuba,2301406,aratubano,JOERLY RODRIGUES VICTOR,119.758,11759,100.44,97,0.622,13.51,49123.73328,31633.95958,13301.76,
Arneiroz,2301505,arneirozense,ANT&Ocirc;NIO MONTEIRO PEDROSA FILHO,1068.437,7848,7.17,97.6,0.618,32.61,11.50649,20466.42208,8467.35,
Assar&eacute;,2301604,assareense,JOSE LIBORIO LEITE NETO,1155.124,23537,20.11,96.6,0.600,11.07,52234.57079,42903.24791,11597.22,
Aurora,2301703,aurorense,MARCONE TAVARES DE LUNA,885.870,24567,27.73,97.9,0.605,9.12,52517.28398,46765.06558,8649.66,
Baixio,2301802,baixiense,JOS&Eacute; HUMBERTO MOURA RAMALHO,145.556,6318,41.15,97.9,0.627,-,23630.68618,21367.08949,10232.14,
Banabui&uacute;,2301851,banabuiense,FRANCISCO HERMES NOBRE,1080.986,18313,16.03,98,0.606,8.13,46068.89785,42192.55666,11453.61,
Barbalha,2301901,barbalhense,GUILHERME SAMPAIO SARAIVA,608.158,61662,97.14,98.3,0.683,6.26,243774.85895,227251.72162,19552.45,
Barreira,2301950,barreirense,ANTONIO ALAILSON OLIVEIRA SALDANHA,260.003,22715,79.63,97.8,0.616,25.28,49562.61395,44585.4676,9089.71,
Barro,2302008,barrense,JOS&Eacute; MARQUIN&Eacute;LIO TAVARES,711.346,22834,30.22,97.1,0.599,13.7,41340.96125,39319.66277,9940.27,
Barroquinha,2302057,barroquinhense,JAIME VERAS SILVA FILHO,385.583,15069,37.76,97.9,0.571,4.9,39700.27383,35936.40334,8169.54,
Baturit&eacute;,2302107,baturiteense,HERBERLH FREITAS REIS CAVALCANTE MOTA,314.075,36127,107.98,95.9,0.619,16.39,74220.66741,67628.88549,11616.09,
Beberibe,2302206,beberibense,MICHELE CARIELLO DE S&Aacute; QUEIROZ ROCHA,1596.751,54315,30.37,98.2,0.638,17.27,119759.00352,114373.58263,17933.94,
Bela Cruz,2302305,bela-cruzense,JOSE OTACILIO DE MORAIS NETO,842.106,32851,36.63,98.9,0.623,23.32,54874.52308,54813.93035,8152.92,
Boa Viagem,2302404,boa-viagense,JOSE CARNEIRO DANTAS FILHO,2835.037,54680,18.51,97.6,0.598,10.84,103721.3768,98299.87318,9284.37,
Brejo Santo,2302503,brejo-santense,MARIA GISLAINE SANTANA SAMPAIO LANDIM,654.658,50195,68.12,92.5,0.647,10.23,170601.2427,147722.76868,14200.26,
Camocim,2302602,camocimense,MARIA ELIZABETE MAGALHAES,1120.452,64147,53.48,97.8,0.620,12.63,184054.11674,163720.78207,11558.46,
Campos Sales,2302701,campos-salense,JO&Atilde;O LUIZ LIMA SANTOS,1082.582,27513,24.48,98.3,0.630,21.21,72422.3074,64018.70805,11256.58,
Canind&eacute;,2302800,canindeense,MARIA DO ROS&Aacute;RIO ARA&Uacute;JO PEDROSA XIMENES,3032.390,77484,23.14,97.5,0.612,12.46,208998.68705,198932.36748,12879.01,
Capistrano,2302909,capistranense,ANTONIO SOARES SARAIVA JUNIOR,226.549,17830,76.67,96.3,0.611,12.05,44410.43366,47389.11605,10611.27,
Caridade,2303006,caridadense,MARIA AMANDA LOPES COSTA,926.271,23011,23.65,97.3,0.592,18.87,42361.98869,44059.92572,7855.74,
Carir&eacute;,2303105,carireense,ANTONIO RUFINO MARTINS,755.597,18470,24.24,97.9,0.596,7.87,51159.84298,45628.31527,9460.38,
Cariria&ccedil;u,2303204,cariria&ccedil;uense,JOS&Eacute; EDMILSON LEITE BARBOSA,634.179,27008,42.33,96.1,0.578,5.05,59523.756,55442.10147,9186.37,
Cari&uacute;s,2303303,cariuense,ANTONIO WILAMAR PALACIO DE OLIVEIRA,1036.417,18700,17.49,97.1,0.597,17.75,43117.00843,38533.8984,8778.94,
Carnaubal,2303402,carnaubalense,JOSE WELITON SOUZA LEITE,363.220,17763,45.90,97.1,0.593,8.89,44400.99881,39292.32944,8613.36,
Cascavel,2303501,cascavelense,TIAGO LUTIANI OLIVEIRA RIBEIRO,838.115,72706,78.99,96.7,0.646,2.98,157576.13841,146954.71201,13215.06,
Catarina,2303600,catarinense,THIAGO PAES DE ANDRADE RODRIGUES,488.153,21041,38.50,94.3,0.618,7.41,48412.85619,40082.53852,6695.21,
Catunda,2303659,catundense,RAVENNA FERNANDES GOMES MESQUITA LIMA,784.022,10410,12.59,98.7,0.609,9.62,30300.18724,29143.06431,10064.47,
Caucaia,2303709,caucaiense,VITOR PEREIRA VALIM,1223.246,368918,264.91,96.3,0.682,12.88,629854.17239,567292.53099,19873.31,
Cedro,2303808,cedrense,JO&Atilde;O BATISTA DINIZ,729.970,25612,33.79,97.5,0.627,11.11,73911.85398,51532.51825,8835.04,
Chaval,2303907,chavalense,SEBASTI&Atilde;O SOTERO VERAS,237.248,13112,52.95,97.4,0.586,6.02,28808.14599,30309.62554,7770.61,
Chor&oacute;,2303931,choroense,MARCONDES DE HOLANDA JUC&Aacute;,815.268,13608,15.76,97.2,0.585,14.18,39483.61716,32665.65548,12734.33,
Chorozinho,2303956,chorozinhense,FRANCISCO DE CASTRO MENEZES J&Uacute;NIOR,296.431,20286,67.94,97.4,0.604,11.11,53830.39622,47230.75267,16662.27,
Corea&uacute;,2304004,coreauense,JOSE EDEZIO VAZ DE SOUZA,750.332,23340,28.30,97.5,0.610,3.08,51937.11674,47475.59126,8215.03,
Crate&uacute;s,2304103,crateuense,MARCELO FERREIRA MACHADO,2981.459,75241,24.39,97.5,0.644,13.25,140243.49492,139963.52378,11910.99,
Crato,2304202,cratense,JOS&Eacute; AILTON DE SOUSA BRASIL,1138.150,133913,103.21,97.8,0.713,10,263007.65557,226354.59361,12922.73,
Croat&aacute;,2304236,croataense,RONILSON FRANCISCO DE OLIVEIRA,696.348,18201,24.49,97.4,0.590,19.53,44431.21556,43136.46883,11348.00,
Cruz,2304251,cruzense,JO&Atilde;O MUNIZ SOBRINHO,335.921,25121,68.13,98.5,0.632,9.09,66832.45706,53862.87242,11839.21,
Deputado Irapuan Pinheiro,2304269,irapuense,FRANCISCO GILDECARLOS PINHEIRO,471.134,9698,19.33,99.3,0.609,-,28587.71263,24445.95004,9105.25,
Erer&eacute;,2304277,erereense,FRANCISCO OTONI DE QUEIROZ MOURA,362.906,7254,17.87,98,0.610,27.78,20139.95203,19068.06015,9259.84,
Eus&eacute;bio,2304285,eusebiano,ACILON GON&Ccedil;ALVES PINTO JUNIOR,78.818,55035,582.66,98.3,0.701,9.17,281098.31547,251597.09476,58604.18,
Farias Brito,2304301,farias-britense,FRANCISCO AUSTRAGEZIO SALES,530.540,19330,37.74,99.3,0.633,28.93,51471.39926,44726.55491,10748.94,
Forquilha,2304350,forquilhense,EDINARDO RODRIGUES FILHO,568.778,24680,42.14,96.4,0.644,-,59852.25615,55357.41569,10153.68,
