Team	Wins	Pts	GF	GA	PPG	PPcT	SHG	PPGA	PKPcT	SHGA
Chicago	4.700000000e+001	1.040000000e+002	3.380000000e+002	2.680000000e+002	8.600000000e+001	2.720000000e+001	4.000000000e+000	7.100000000e+001	7.660000000e+001	6.000000000e+000
Minnesota	4.000000000e+001	9.600000000e+001	3.210000000e+002	2.900000000e+002	9.100000000e+001	2.640000000e+001	1.700000000e+001	6.700000000e+001	8.070000000e+001	2.000000000e+001
Toronto	2.800000000e+001	6.800000000e+001	2.300000000e+001	3.300000000e+002	7.900000000e+001	2.230000000e+001	1.300000000e+001	8.300000000e+001	7.500000000e+001	9.000000000e+000
St.Louis	2.500000000e+001	6.500000000e+001	2.850000000e+002	3.160000000e+002	6.700000000e+001	2.120000000e+001	9.000000000e+000	6.300000000e+001	8.130000000e+001	1.200000000e+001
Detroit	2.100000000e+001	5.700000000e+001	2.630000000e+002	3.440000000e+002	3.700000000e+001	1.930000000e+001	7.000000000e+000	8.000000000e+001	7.260000000e+001	9.000000000e+000
Edmonton	4.700000000e+001	1.060000000e+002	4.240000000e+002	3.150000000e+002	8.600000000e+001	2.930000000e+001	2.200000000e+001	8.900000000e+001	7.750000000e+001	6.000000000e+000
Calgary	3.200000000e+001	7.800000000e+001	3.210000000e+002	3.170000000e+002	9.000000000e+001	2.700000000e+001	7.000000000e+000	5.900000000e+001	7.710000000e+001	6.000000000e+000
Vancouver	3.000000000e+001	7.500000000e+001	3.030000000e+002	3.090000000e+002	6.500000000e+001	2.380000000e+001	5.000000000e+000	5.600000000e+001	8.080000000e+001	1.300000000e+001
Winnipeg	3.300000000e+001	7.400000000e+001	3.110000000e+002	3.330000000e+002	7.800000000e+001	2.360000000e+001	1.000000000e+001	6.700000000e+001	7.280000000e+001	7.000000000e+000
LosAngeles	2.700000000e+001	6.600000000e+001	3.080000000e+002	3.650000000e+002	8.100000000e+001	2.380000000e+001	1.000000000e+001	9.400000000e+001	6.820000000e+001	1.400000000e+001
Philly	4.900000000e+001	1.060000000e+002	3.260000000e+002	2.400000000e+002	6.000000000e+001	2.160000000e+001	1.500000000e+001	6.100000000e+001	8.200000000e+001	7.000000000e+000
NYIslandrs	4.200000000e+001	9.600000000e+001	3.020000000e+002	2.260000000e+002	6.900000000e+001	2.580000000e+001	1.000000000e+001	5.500000000e+001	8.340000000e+001	3.000000000e+000
Washington	3.900000000e+001	9.400000000e+001	3.060000000e+002	2.830000000e+002	7.500000000e+001	2.090000000e+001	3.000000000e+000	5.300000000e+001	8.160000000e+001	1.100000000e+001
NYRangers	3.500000000e+001	8.000000000e+001	3.060000000e+002	2.870000000e+002	7.100000000e+001	2.240000000e+001	1.200000000e+001	7.500000000e+001	7.600000000e+001	8.000000000e+000
NewJersey	1.700000000e+001	4.800000000e+001	2.300000000e+002	3.380000000e+002	6.600000000e+001	2.190000000e+001	7.400000000e+001	7.800000000e+001	7.350000000e+001	1.000000000e+001
Pittsburgh	1.800000000e+001	4.500000000e+001	2.570000000e+002	3.940000000e+002	8.100000000e+001	2.260000000e+001	3.000000000e+000	1.100000000e+002	7.220000000e+001	1.500000000e+001
Boston	5.000000000e+001	1.100000000e+002	3.270000000e+002	2.280000000e+002	6.700000000e+001	2.220000000e+001	8.000000000e+000	5.300000000e+001	8.070000000e+001	6.000000000e+000
Montreal	4.200000000e+001	9.800000000e+001	3.500000000e+002	2.860000000e+002	6.400000000e+001	2.220000000e+001	8.000000000e+000	6.800000000e+001	7.380000000e+001	8.000000000e+000
Buffalo	3.800000000e+001	8.900000000e+001	3.180000000e+002	2.850000000e+002	6.700000000e+001	2.150000000e+001	1.200000000e+001	4.800000000e+001	8.250000000e+001	9.000000000e+000
Quebec	3.400000000e+001	8.000000000e+001	3.430000000e+002	3.360000000e+002	6.100000000e+001	2.070000000e+001	6.000000000e+000	9.200000000e+001	7.360000000e+001	6.000000000e+000
Hartford	1.900000000e+001	4.500000000e+001	2.610000000e+002	4.030000000e+002	5.100000000e+001	1.930000000e+001	6.000000000e+000	7.000000000e+001	7.610000000e+001	9.000000000e+000
