OBS	y	xl	x2	x3
1.000000000e+000	2.220000000e-001	7.300000000e+000	0.000000000e+000	0.000000000e+000
2.000000000e+000	3.950000000e-001	8.700000000e+000	0.000000000e+000	3.000000000e-001
3.000000000e+000	4.220000000e-001	8.800000000e+000	7.000000000e-001	1.000000000e+000
4.000000000e+000	4.370000000e-001	8.100000000e+000	4.000000000e+000	2.000000000e-001
5.000000000e+000	4.280000000e-001	9.000000000e+000	5.000000000e-001	1.000000000e+000
6.000000000e+000	4.670000000e-001	8.700000000e+000	1.500000000e+000	2.800000000e+000
7.000000000e+000	4.440000000e-001	9.300000000e+000	2.100000000e+000	1.000000000e+000
8.000000000e+000	3.780000000e-001	7.600000000e+000	5.100000000e+000	3.400000000e+000
9.000000000e+000	4.940000000e-001	1.000000000e+001	0.000000000e+000	3.000000000e-001
1.000000000e+001	4.560000000e-001	8.400000000e+000	3.700000000e+000	4.100000000e+000
1.100000000e+001	4.520000000e-001	9.300000000e+000	3.600000000e+000	2.000000000e+000
1.200000000e+001	1.120000000e-001	7.700000000e+000	2.800000000e+000	7.100000000e+000
1.300000000e+001	4.320000000e-001	9.800000000e+000	4.200000000e+000	2.000000000e+000
1.400000000e+001	1.010000000e-001	7.300000000e+000	2.500000000e+000	6.800000000e+000
1.500000000e+001	2.320000000e-001	8.500000000e+000	2.000000000e+000	6.600000000e+000
1.600000000e+001	3.060000000e-001	9.500000000e+000	2.500000000e+000	5.000000000e+000
1.700000000e+001	9.230000000e-002	7.400000000e+000	2.800000000e+000	7.800000000e+000
1.800000000e+001	1.160000000e-001	7.800000000e+000	2.800000000e+000	7.700000000e+000
1.900000000e+001	7.640000000e-002	7.700000000e+000	3.000000000e+000	8.000000000e+000
2.000000000e+001	4.390000000e-001	1.030000000e+001	1.700000000e+000	4.200000000e+000
2.100000000e+001	9.440000000e-002	7.800000000e+000	3.300000000e+000	8.500000000e+000
2.200000000e+001	1.170000000e-001	7.100000000e+000	3.900000000e+000	6.600000000e+000
2.300000000e+001	7.260000000e-002	7.700000000e+000	4.300000000e+000	9.500000000e+000
2.400000000e+001	4.120000000e-002	7.400000000e+000	6.000000000e+000	1.090000000e+001
2.500000000e+001	2.510000000e-001	7.300000000e+000	2.000000000e+000	5.200000000e+000
2.600000000e+001	2.000000000e-005	7.600000000e+000	7.800000000e+000	2.070000000e+001
