obs	y	x1	x2	x3	x4	x5	x6
1.000000000e+000	4.540000000e+003	2.140000000e+003	2.064000000e+004	3.025000000e+004	2.050000000e+002	1.732000000e+003	9.900000000e+001
2.000000000e+000	4.315000000e+003	2.016000000e+003	2.028000000e+004	3.001000000e+004	1.950000000e+002	1.697000000e+003	1.000000000e+002
3.000000000e+000	4.095000000e+003	1.905000000e+003	1.986000000e+004	2.978000000e+004	1.840000000e+002	1.662000000e+003	9.700000000e+001
4.000000000e+000	3.650000000e+003	1.675000000e+003	1.898000000e+004	2.933000000e+004	1.640000000e+002	1.598000000e+003	9.700000000e+001
5.000000000e+000	3.200000000e+003	1.474000000e+003	1.810000000e+004	2.896000000e+004	1.440000000e+002	1.541000000e+003	9.700000000e+001
6.000000000e+000	4.833000000e+003	2.239000000e+003	2.074000000e+004	3.008300000e+004	2.160000000e+002	1.709000000e+003	8.700000000e+001
7.000000000e+000	4.617000000e+003	2.120000000e+003	2.030500000e+004	2.983100000e+004	2.060000000e+002	1.669000000e+003	8.700000000e+001
8.000000000e+000	4.340000000e+003	1.990000000e+003	1.996100000e+004	2.960400000e+004	1.960000000e+002	1.640000000e+003	8.700000000e+001
9.000000000e+000	3.820000000e+003	1.702000000e+003	1.891600000e+004	2.908800000e+004	1.710000000e+002	1.572000000e+003	8.500000000e+001
1.000000000e+001	3.368000000e+003	1.487000000e+003	1.801200000e+004	2.867500000e+004	1.490000000e+002	1.522000000e+003	8.500000000e+001
1.100000000e+001	4.445000000e+003	2.107000000e+003	2.052000000e+004	3.012000000e+004	1.950000000e+002	1.740000000e+003	1.010000000e+002
1.200000000e+001	4.188000000e+003	1.973000000e+003	2.013000000e+004	2.992000000e+004	1.900000000e+002	1.711000000e+003	1.000000000e+002
1.300000000e+001	3.981000000e+003	1.864000000e+003	1.978000000e+004	2.972000000e+004	1.800000000e+002	1.682000000e+003	1.000000000e+002
1.400000000e+001	3.622000000e+003	1.674000000e+003	1.902000000e+004	2.937000000e+004	1.610000000e+002	1.630000000e+003	1.000000000e+002
1.500000000e+001	3.125000000e+003	1.440000000e+003	1.803000000e+004	2.894000000e+004	1.390000000e+002	1.572000000e+003	1.010000000e+002
1.600000000e+001	4.560000000e+003	2.165000000e+003	2.068000000e+004	3.016000000e+004	2.080000000e+002	1.704000000e+003	9.800000000e+001
1.700000000e+001	4.340000000e+003	2.048000000e+003	2.034000000e+004	2.996000000e+004	1.990000000e+002	1.679000000e+003	9.600000000e+001
1.800000000e+001	4.115000000e+003	1.916000000e+003	1.986000000e+004	2.971000000e+004	1.870000000e+002	1.642000000e+003	9.400000000e+001
1.900000000e+001	3.630000000e+003	1.658000000e+003	1.895000000e+004	2.925000000e+004	1.640000000e+002	1.576000000e+003	9.400000000e+001
2.000000000e+001	3.210000000e+003	1.489000000e+003	1.870000000e+004	2.889000000e+004	1.450000000e+002	1.528000000e+003	9.400000000e+001
2.100000000e+001	4.330000000e+003	2.062000000e+003	2.050000000e+004	3.019000000e+004	1.930000000e+002	1.748000000e+003	1.010000000e+002
2.200000000e+001	4.119000000e+003	1.929000000e+003	2.005000000e+004	2.996000000e+004	1.830000000e+002	1.713000000e+003	1.000000000e+002
2.300000000e+001	3.891000000e+003	1.815000000e+003	1.968000000e+004	2.977000000e+004	1.730000000e+002	1.684000000e+003	1.000000000e+002
2.400000000e+001	3.467000000e+003	1.595000000e+003	1.889000000e+004	2.936000000e+004	1.530000000e+002	1.624000000e+003	9.900000000e+001
2.500000000e+001	3.045000000e+003	1.400000000e+003	1.787000000e+004	2.896000000e+004	1.340000000e+002	1.569000000e+003	1.000000000e+002
2.600000000e+001	4.411000000e+003	2.047000000e+003	2.054000000e+004	3.016000000e+004	1.930000000e+002	1.746000000e+003	9.900000000e+001
2.700000000e+001	4.203000000e+003	1.935000000e+003	2.016000000e+004	2.994000000e+004	1.840000000e+002	1.714000000e+003	9.900000000e+001
2.800000000e+001	3.968000000e+003	1.807000000e+003	1.975000000e+004	2.976000000e+004	1.730000000e+002	1.679000000e+003	9.900000000e+001
2.900000000e+001	3.531000000e+003	1.591000000e+003	1.889000000e+004	2.935000000e+004	1.530000000e+002	1.621000000e+003	9.900000000e+001
3.000000000e+001	3.074000000e+003	1.388000000e+003	1.787000000e+004	2.891000000e+004	1.330000000e+002	1.561000000e+003	9.900000000e+001
3.100000000e+001	4.350000000e+003	2.071000000e+003	2.046000000e+004	3.018000000e+004	1.980000000e+002	1.729000000e+003	1.020000000e+002
3.200000000e+001	4.128000000e+003	1.944000000e+003	2.001000000e+004	2.994000000e+004	1.860000000e+002	1.692000000e+003	1.010000000e+002
3.300000000e+001	3.940000000e+003	1.831000000e+003	1.964000000e+004	2.975000000e+004	1.780000000e+002	1.667000000e+003	1.010000000e+002
3.400000000e+001	3.480000000e+003	1.612000000e+003	1.871000000e+004	2.936000000e+004	1.560000000e+002	1.609000000e+003	1.010000000e+002
3.500000000e+001	3.064000000e+003	1.410000000e+003	1.778000000e+004	2.890000000e+004	1.360000000e+002	1.552000000e+003	1.010000000e+002
3.600000000e+001	4.402000000e+003	2.066000000e+003	2.052000000e+004	3.017000000e+004	1.970000000e+002	1.758000000e+003	1.000000000e+002
3.700000000e+001	4.180000000e+003	1.954000000e+003	2.015000000e+004	2.995000000e+004	1.880000000e+002	1.729000000e+003	9.900000000e+001
3.800000000e+001	3.973000000e+003	1.835000000e+003	1.975000000e+004	2.974000000e+004	1.780000000e+002	1.690000000e+003	9.900000000e+001
