obs	xl	x2	x3	x4	x5	y
1.000000000e+000	3.000000000e+000	3.000000000e+000	3.000000000e+000	3.000000000e+000	0.000000000e+000	7.870000000e-001
2.000000000e+000	8.000000000e+000	3.000000000e+001	8.000000000e+000	8.000000000e+000	0.000000000e+000	2.930000000e-001
3.000000000e+000	3.000000000e+000	6.000000000e+000	6.000000000e+000	6.000000000e+000	0.000000000e+000	1.710000000e+000
4.000000000e+000	4.000000000e+000	4.000000000e+000	4.000000000e+000	1.200000000e+001	0.000000000e+000	2.030000000e-001
5.000000000e+000	8.000000000e+000	7.000000000e+000	6.000000000e+000	5.000000000e+000	0.000000000e+000	8.060000000e-001
6.000000000e+000	1.000000000e+001	2.000000000e+001	5.000000000e+000	5.000000000e+000	0.000000000e+000	4.713000000e+000
7.000000000e+000	8.000000000e+000	6.000000000e+000	3.000000000e+000	3.000000000e+000	2.500000000e+001	6.070000000e-001
8.000000000e+000	6.000000000e+000	2.400000000e+001	4.000000000e+000	4.000000000e+000	2.500000000e+001	9.107000000e+000
9.000000000e+000	4.000000000e+000	1.000000000e+001	1.200000000e+001	4.000000000e+000	2.500000000e+001	9.210000000e+000
1.000000000e+001	1.600000000e+001	1.200000000e+001	8.000000000e+000	4.000000000e+000	2.500000000e+001	1.365000000e+000
1.100000000e+001	3.000000000e+000	1.000000000e+001	8.000000000e+000	8.000000000e+000	2.500000000e+001	4.554000000e+000
1.200000000e+001	8.000000000e+000	3.000000000e+000	3.000000000e+000	3.000000000e+000	2.500000000e+001	2.930000000e-001
1.300000000e+001	3.000000000e+000	6.000000000e+000	3.000000000e+000	3.000000000e+000	5.000000000e+001	2.252000000e+000
1.400000000e+001	3.000000000e+000	8.000000000e+000	8.000000000e+000	3.000000000e+000	5.000000000e+001	9.167000000e+000
1.500000000e+001	4.000000000e+000	8.000000000e+000	4.000000000e+000	8.000000000e+000	5.000000000e+001	6.940000000e-001
1.600000000e+001	5.000000000e+000	2.000000000e+000	2.000000000e+000	2.000000000e+000	5.000000000e+001	3.790000000e-001
1.700000000e+001	2.000000000e+000	2.000000000e+000	2.000000000e+000	3.000000000e+000	5.000000000e+001	4.850000000e-001
1.800000000e+001	1.000000000e+001	1.500000000e+001	3.000000000e+000	3.000000000e+000	5.000000000e+001	3.345000000e+000
1.900000000e+001	1.500000000e+001	6.000000000e+000	2.000000000e+000	3.000000000e+000	5.000000000e+001	2.080000000e-001
2.000000000e+001	1.500000000e+001	6.000000000e+000	2.000000000e+000	3.000000000e+000	7.500000000e+001	2.010000000e-001
2.100000000e+001	1.000000000e+001	4.000000000e+000	3.000000000e+000	3.000000000e+000	7.500000000e+001	3.290000000e-001
2.200000000e+001	3.000000000e+000	8.000000000e+000	2.000000000e+000	2.000000000e+000	7.500000000e+001	4.966000000e+000
2.300000000e+001	6.000000000e+000	6.000000000e+000	6.000000000e+000	4.000000000e+000	7.500000000e+001	1.362000000e+000
2.400000000e+001	2.000000000e+000	3.000000000e+000	8.000000000e+000	6.000000000e+000	7.500000000e+001	1.515000000e+000
2.500000000e+001	3.000000000e+000	3.000000000e+000	8.000000000e+000	8.000000000e+000	7.500000000e+001	7.510000000e-001
