team	y	xl	x2	X3	X4	X5	X6	X7	X8	X9
Washington	1.000000000e+001	2.113000000e+003	1.985000000e+003	3.890000000e+001	6.470000000e+001	4.000000000e+000	8.680000000e+002	5.970000000e+001	2.205000000e+003	1.917000000e+003
Minnesota	1.100000000e+001	2.003000000e+003	2.855000000e+003	3.880000000e+001	6.130000000e+001	3.000000000e+000	6.150000000e+002	5.500000000e+001	2.096000000e+003	1.575000000e+003
NewEngland	1.100000000e+001	2.957000000e+003	1.737000000e+003	4.010000000e+001	6.000000000e+001	1.400000000e+001	9.140000000e+002	6.560000000e+001	1.847000000e+003	2.175000000e+003
Oakland	1.300000000e+001	2.285000000e+003	2.905000000e+003	4.160000000e+001	4.530000000e+001	-4.000000000e+000	9.570000000e+002	6.140000000e+001	1.903000000e+003	2.476000000e+003
Pittsburgh	1.000000000e+001	2.971000000e+003	1.666000000e+003	3.920000000e+001	5.380000000e+001	1.500000000e+001	8.360000000e+002	6.610000000e+001	1.457000000e+003	1.866000000e+003
Baltimore	1.100000000e+001	2.309000000e+003	2.927000000e+003	3.970000000e+001	7.410000000e+001	8.000000000e+000	7.860000000e+002	6.100000000e+001	1.848000000e+003	2.339000000e+003
LosAngeles	1.000000000e+001	2.528000000e+003	2.341000000e+003	3.810000000e+001	6.540000000e+001	1.200000000e+001	7.540000000e+002	6.610000000e+001	1.564000000e+003	2.092000000e+003
Dallas	1.100000000e+001	2.147000000e+003	2.737000000e+003	3.700000000e+001	7.830000000e+001	-1.000000000e+000	7.970000000e+002	5.890000000e+001	2.476000000e+003	2.254000000e+003
Atlanta	4.000000000e+000	1.689000000e+003	1.414000000e+003	4.210000000e+001	4.760000000e+001	-3.000000000e+000	7.140000000e+002	5.700000000e+001	2.577000000e+003	2.001000000e+003
Buffalo	2.000000000e+000	2.566000000e+003	1.838000000e+003	4.230000000e+001	5.420000000e+001	-1.000000000e+000	7.970000000e+002	5.890000000e+001	2.476000000e+003	2.254000000e+003
Chicago	7.000000000e+000	2.363000000e+003	1.480000000e+003	3.730000000e+001	4.800000000e+001	1.900000000e+001	9.840000000e+002	6.850000000e+001	1.984000000e+003	2.217000000e+003
Cincinnati	1.000000000e+001	2.109000000e+003	2.191000000e+003	3.950000000e+001	5.190000000e+001	6.000000000e+000	8.190000000e+002	5.920000000e+001	1.901000000e+003	1.686000000e+003
Cleveland	9.000000000e+000	2.295000000e+003	2.229000000e+003	3.740000000e+001	5.360000000e+001	-5.000000000e+000	1.037000000e+003	5.880000000e+001	1.761000000e+003	2.032000000e+003
Denver	9.000000000e+000	1.932000000e+003	2.204000000e+003	3.510000000e+001	7.140000000e+001	3.000000000e+000	9.860000000e+002	5.860000000e+001	1.709000000e+003	2.025000000e+003
Detroit	6.000000000e+000	2.213000000e+003	2.140000000e+003	3.880000000e+001	5.830000000e+001	6.000000000e+000	8.190000000e+002	5.920000000e+001	1.901000000e+003	1.686000000e+003
GreenBay	5.000000000e+000	1.722000000e+003	1.730000000e+003	3.660000000e+001	5.260000000e+001	-1.900000000e+001	7.910000000e+002	5.440000000e+001	2.288000000e+003	1.835000000e+003
Houston	5.000000000e+000	1.498000000e+003	2.072000000e+003	3.530000000e+001	5.930000000e+001	-5.000000000e+000	7.760000000e+002	4.960000000e+001	2.072000000e+003	1.914000000e+003
KansasCity	5.000000000e+000	1.873000000e+003	2.929000000e+003	4.110000000e+001	5.530000000e+001	1.000000000e+001	7.890000000e+002	5.430000000e+001	2.861000000e+003	2.496000000e+003
Miami	6.000000000e+000	2.118000000e+003	2.268000000e+003	3.860000000e+001	6.960000000e+001	6.000000000e+000	5.820000000e+002	5.870000000e+001	2.411000000e+003	2.670000000e+003
NewOrleans	4.000000000e+000	1.775000000e+003	1.983000000e+003	3.930000000e+001	7.830000000e+001	7.000000000e+000	9.010000000e+002	5.170000000e+001	2.289000000e+003	2.202000000e+003
NYGiants	3.000000000e+000	1.904000000e+003	1.792000000e+003	3.970000000e+001	3.810000000e+001	-9.000000000e+000	7.340000000e+002	6.190000000e+001	2.203000000e+003	1.988000000e+003
NYJets	3.000000000e+000	1.929000000e+003	1.606000000e+003	3.970000000e+001	6.880000000e+001	-2.100000000e+001	6.270000000e+002	5.270000000e+001	2.592000000e+003	2.324000000e+003
Philadelphia	4.000000000e+000	2.080000000e+003	1.492000000e+003	3.550000000e+001	6.880000000e+001	-8.000000000e+000	7.220000000e+002	5.780000000e+001	2.053000000e+003	2.550000000e+003
St.Louis	1.000000000e+001	2.301000000e+003	2.835000000e+003	3.530000000e+001	7.410000000e+001	2.000000000e+000	6.830000000e+002	5.970000000e+001	1.979000000e+003	2.110000000e+003
SanDiego	6.000000000e+000	2.040000000e+003	2.416000000e+003	3.870000000e+001	5.000000000e+001	0.000000000e+000	5.760000000e+002	5.490000000e+001	2.048000000e+003	2.628000000e+003
SanFrancisco	8.000000000e+000	2.447000000e+003	1.638000000e+003	3.990000000e+001	5.710000000e+001	-8.000000000e+000	8.480000000e+002	6.530000000e+001	1.786000000e+003	1.776000000e+003
Seattle	2.000000000e+000	1.416000000e+003	2.649000000e+003	3.740000000e+001	5.630000000e+001	-2.200000000e+001	6.840000000e+002	4.380000000e+001	2.876000000e+003	2.524000000e+003
TampaBay	0.000000000e+000	1.503000000e+003	1.503000000e+003	3.930000000e+001	4.700000000e+001	-9.000000000e+000	8.750000000e+002	5.350000000e+001	2.560000000e+003	2.241000000e+003
