Automobile	y	xl	x2	x3	x4	x5	x6	x7	x8	x9	x1O	x11
Apollo	1.890000000e+001	3.500000000e+002	1.650000000e+002	2.600000000e+002	8.000000000e+000	2.560000000e+000	4.000000000e+000	3.000000000e+000	2.003000000e+002	6.990000000e+001	3.910000000e+003	A
Nova	2.000000000e+001	2.500000000e+002	1.050000000e+002	1.850000000e+002	8.250000000e+000	2.730000000e+000	1.000000000e+000	3.000000000e+000	1.967000000e+002	7.220000000e+001	3.510000000e+003	A
Monarch	1.825000000e+001	3.510000000e+002	1.430000000e+002	2.550000000e+002	8.000000000e+000	3.000000000e+000	2.000000000e+000	3.000000000e+000	1.999000000e+002	7.400000000e+001	3.890000000e+003	A
Duster	2.007000000e+001	2.250000000e+002	9.500000000e+001	1.700000000e+002	8.400000000e+000	2.760000000e+000	1.000000000e+000	3.000000000e+000	1.941000000e+002	7.180000000e+001	3.365000000e+003	M
JensConv	1.120000000e+001	4.400000000e+002	2.150000000e+002	3.300000000e+002	8.200000000e+000	2.880000000e+000	4.000000000e+000	3.000000000e+000	1.845000000e+002	6.900000000e+001	4.215000000e+003	A
Skyhawk	2.212000000e+001	2.310000000e+002	1.100000000e+002	1.750000000e+002	8.000000000e+000	2.560000000e+000	2.000000000e+000	3.000000000e+000	1.793000000e+002	6.540000000e+001	3.020000000e+003	A
Scirocco	3.470000000e+001	8.970000000e+001	7.000000000e+001	8.100000000e+001	8.200000000e+000	3.900000000e+000	2.000000000e+000	4.000000000e+000	1.557000000e+002	6.400000000e+001	1.905000000e+003	M
CorolSR-5	3.040000000e+001	9.690000000e+001	7.500000000e+001	8.300000000e+001	9.000000000e+000	4.300000000e+000	2.000000000e+000	5.000000000e+000	1.652000000e+002	6.500000000e+001	2.320000000e+003	M
Camaro	1.650000000e+001	3.500000000e+002	1.550000000e+002	2.500000000e+002	8.500000000e+000	3.080000000e+000	4.000000000e+000	3.000000000e+000	1.954000000e+002	7.440000000e+001	3.885000000e+003	A
DatsB210	3.650000000e+001	8.530000000e+001	8.000000000e+001	8.300000000e+001	8.500000000e+000	3.890000000e+000	2.000000000e+000	4.000000000e+000	1.606000000e+002	6.220000000e+001	2.009000000e+003	M
Capri11	2.150000000e+001	1.710000000e+002	1.090000000e+002	1.460000000e+002	8.200000000e+000	3.220000000e+000	2.000000000e+000	4.000000000e+000	1.704000000e+002	6.690000000e+001	2.655000000e+003	M
Pacer	1.970000000e+001	2.580000000e+002	1.100000000e+002	1.950000000e+002	8.000000000e+000	3.080000000e+000	1.000000000e+000	3.000000000e+000	1.715000000e+002	7.700000000e+001	3.375000000e+003	A
Granada	1.780000000e+001	3.020000000e+002	1.290000000e+002	2.200000000e+002	8.000000000e+000	3.000000000e+000	2.000000000e+000	3.000000000e+000	1.999000000e+002	7.400000000e+001	3.890000000e+003	A
Eldorado	1.439000000e+001	5.000000000e+002	1.900000000e+002	3.600000000e+002	8.500000000e+000	2.730000000e+000	4.000000000e+000	3.000000000e+000	2.241000000e+002	7.980000000e+001	5.290000000e+003	A
Imperial	1.489000000e+001	4.400000000e+002	2.150000000e+002	3.300000000e+002	8.200000000e+000	2.710000000e+000	4.000000000e+000	3.000000000e+000	2.310000000e+002	7.970000000e+001	5.185000000e+003	A
NovaLN	1.780000000e+001	3.500000000e+002	1.550000000e+002	2.500000000e+002	8.500000000e+000	3.080000000e+000	4.000000000e+000	3.000000000e+000	1.967000000e+002	7.220000000e+001	3.910000000e+003	A
Starfire	2.354000000e+001	2.310000000e+002	1.100000000e+002	1.750000000e+002	8.000000000e+000	2.560000000e+000	2.000000000e+000	3.000000000e+000	1.793000000e+002	6.540000000e+001	3.050000000e+003	A
Cordoba	2.147000000e+001	3.600000000e+002	1.800000000e+002	2.900000000e+002	8.400000000e+000	2.450000000e+000	2.000000000e+000	3.000000000e+000	2.142000000e+002	7.630000000e+001	4.250000000e+003	A
TransAm	1.659000000e+001	4.000000000e+002	1.850000000e+002		7.600000000e+000	3.080000000e+000	4.000000000e+000	3.000000000e+000	1.960000000e+002	7.300000000e+001	3.850000000e+003	A
CorolE-5	3.190000000e+001	9.690000000e+001	7.500000000e+001	8.300000000e+001	9.000000000e+000	4.300000000e+000	2.000000000e+000	5.000000000e+000	1.652000000e+002	6.180000000e+001	2.275000000e+003	M
MarkIV	1.327000000e+001	4.600000000e+002	2.230000000e+002	3.660000000e+002	8.000000000e+000	3.000000000e+000	4.000000000e+000	3.000000000e+000	2.280000000e+002	7.980000000e+001	5.430000000e+003	A
CelicaGT	2.390000000e+001	1.336000000e+002	9.600000000e+001	1.200000000e+002	8.400000000e+000	3.910000000e+000	2.000000000e+000	5.000000000e+000	1.715000000e+002	6.340000000e+001	2.535000000e+003	M
ChargerSE	1.973000000e+001	3.180000000e+002	1.400000000e+002	2.550000000e+002	8.500000000e+000	2.710000000e+000	2.000000000e+000	3.000000000e+000	2.153000000e+002	7.630000000e+001	4.370000000e+003	A
Cougar	1.390000000e+001	3.510000000e+002	1.480000000e+002	2.430000000e+002	8.000000000e+000	3.250000000e+000	2.000000000e+000	3.000000000e+000	2.155000000e+002	7.850000000e+001	4.540000000e+003	A
Corvette	1.650000000e+001	3.500000000e+002	1.650000000e+002	2.550000000e+002	8.500000000e+000	2.730000000e+000	4.000000000e+000	3.000000000e+000	1.852000000e+002	6.900000000e+001	3.660000000e+003	A
