y	X1	X2	X3	X4
2.400000000e+002	2.500000000e+001	2.400000000e+001	9.100000000e+001	1.000000000e+002
2.360000000e+002	3.100000000e+001	2.100000000e+001	9.000000000e+001	9.500000000e+001
2.900000000e+002	4.500000000e+001	2.400000000e+001	8.800000000e+001	1.100000000e+002
2.740000000e+002	6.000000000e+001	2.500000000e+001	8.700000000e+001	8.800000000e+001
3.010000000e+002	6.500000000e+001	2.500000000e+001	9.100000000e+001	9.400000000e+001
3.160000000e+002	7.200000000e+001	2.600000000e+001	9.400000000e+001	9.900000000e+001
3.000000000e+002	8.000000000e+001	2.500000000e+001	8.700000000e+001	9.700000000e+001
2.960000000e+002	8.400000000e+001	2.500000000e+001	8.600000000e+001	9.600000000e+001
2.670000000e+002	7.500000000e+001	2.400000000e+001	8.800000000e+001	1.100000000e+002
2.760000000e+002	6.000000000e+001	2.500000000e+001	9.100000000e+001	1.050000000e+002
2.880000000e+002	5.000000000e+001	2.500000000e+001	9.000000000e+001	1.000000000e+002
2.610000000e+002	3.800000000e+001	2.300000000e+001	8.900000000e+001	9.800000000e+001
