y	x1	x2	x3	x4	x5	x6
8.000000000e+000	5.200000000e+000	1.960000000e+001	2.960000000e+001	9.490000000e+001	2.100000000e+000	2.300000000e+000
8.300000000e+000	5.200000000e+000	1.980000000e+001	3.240000000e+001	8.970000000e+001	2.100000000e+000	1.800000000e+000
8.500000000e+000	5.800000000e+000	1.960000000e+001	3.100000000e+001	9.620000000e+001	2.000000000e+000	2.000000000e+000
8.800000000e+000	6.400000000e+000	1.940000000e+001	3.240000000e+001	9.560000000e+001	2.200000000e+000	2.100000000e+000
9.000000000e+000	5.800000000e+000	1.860000000e+001	2.860000000e+001	8.650000000e+001	2.000000000e+000	1.800000000e+000
9.300000000e+000	5.200000000e+000	1.880000000e+001	3.060000000e+001	8.450000000e+001	2.100000000e+000	2.100000000e+000
9.300000000e+000	5.600000000e+000	2.040000000e+001	3.240000000e+001	8.880000000e+001	2.200000000e+000	1.900000000e+000
9.500000000e+000	6.000000000e+000	1.900000000e+001	3.260000000e+001	8.570000000e+001	2.100000000e+000	1.900000000e+000
9.800000000e+000	5.200000000e+000	2.080000000e+001	3.220000000e+001	9.360000000e+001	2.300000000e+000	2.100000000e+000
1.000000000e+001	5.800000000e+000	1.990000000e+001	3.180000000e+001	8.600000000e+001	2.100000000e+000	1.800000000e+000
1.030000000e+001	6.400000000e+000	1.800000000e+001	3.260000000e+001	8.710000000e+001	2.000000000e+000	1.600000000e+000
1.050000000e+001	6.000000000e+000	2.060000000e+001	3.340000000e+001	9.310000000e+001	2.100000000e+000	2.100000000e+000
1.080000000e+001	6.200000000e+000	2.020000000e+001	3.180000000e+001	8.340000000e+001	2.200000000e+000	2.100000000e+000
1.100000000e+001	6.200000000e+000	2.020000000e+001	3.240000000e+001	9.450000000e+001	2.100000000e+000	1.900000000e+000
1.130000000e+001	6.200000000e+000	1.920000000e+001	3.140000000e+001	8.340000000e+001	1.900000000e+000	1.800000000e+000
1.150000000e+001	5.600000000e+000	1.700000000e+001	3.320000000e+001	8.520000000e+001	2.100000000e+000	2.100000000e+000
1.180000000e+001	6.000000000e+000	1.980000000e+001	3.540000000e+001	8.410000000e+001	2.000000000e+000	1.800000000e+000
1.230000000e+001	5.800000000e+000	1.880000000e+001	3.400000000e+001	8.690000000e+001	2.100000000e+000	1.800000000e+000
1.250000000e+001	5.600000000e+000	1.860000000e+001	3.420000000e+001	8.300000000e+001	1.900000000e+000	2.000000000e+000
