xl	x2	x3	y
1.462000000e+001	2.260000000e+002	7.000000000e+000	1.284000000e+002
1.563000000e+001	2.200000000e+002	3.375000000e+000	5.262000000e+001
1.462000000e+001	2.174000000e+002	6.375000000e+000	1.139000000e+002
1.500000000e+001	2.200000000e+002	6.000000000e+000	9.801000000e+001
1.450000000e+001	2.265000000e+002	7.625000000e+000	1.399000000e+002
1.525000000e+001	2.241000000e+002	6.000000000e+000	1.026000000e+002
1.612000000e+001	2.205000000e+002	3.375000000e+000	4.814000000e+001
1.513000000e+001	2.235000000e+002	6.125000000e+000	1.096000000e+002
1.550000000e+001	2.176000000e+002	5.000000000e+000	8.268000000e+001
1.513000000e+001	2.285000000e+002	6.625000000e+000	1.126000000e+002
1.550000000e+001	2.302000000e+002	5.750000000e+000	9.752000000e+001
1.612000000e+001	2.265000000e+002	3.750000000e+000	5.906000000e+001
1.513000000e+001	2.266000000e+002	6.125000000e+000	1.118000000e+002
1.563000000e+001	2.256000000e+002	5.375000000e+000	8.909000000e+001
1.538000000e+001	2.297000000e+002	5.875000000e+000	1.010000000e+002
1.438000000e+001	2.340000000e+002	8.875000000e+000	1.719000000e+002
1.550000000e+001	2.300000000e+002	4.000000000e+000	6.680000000e+001
1.425000000e+001	2.243000000e+002	8.000000000e+000	1.571000000e+002
1.450000000e+001	2.405000000e+002	1.087000000e+001	2.084000000e+002
1.462000000e+001	2.237000000e+002	7.375000000e+000	1.334000000e+002
